Tupelo,MS,Memphis,TN,1,41,109
Tupelo,MS,Jackson,MS,3,4,195
Tupelo,MS,Birmingham,AL,2,1,134
Tupelo,MS,Meridian,MS,2,16,144
Hattiesburg,MS,Jackson,MS,1,37,90
Hattiesburg,MS,Meridian,MS,1,23,87
Hattiesburg,MS,Biloxi,MS,1,17,74
Hattiesburg,MS,New Orleans,LA,1,47,112
Jackson,MS,Vicksburg,MS,0,47,43
Meridian,MS,Biloxi,MS,2,32,165
Meridian,MS,Jackson,MS,1,24,92
Meridian,MS,Birmingham,AL,2,13,147
Memphis,TN,Nashville,TN,4,6,252
Memphis,TN,Little Rock,AR,2,1,137
Memphis,TN,Jackson,MS,2,57,209
Nashville,TN,Birmingham,AL,2,46,192
Nashville,TN,Chattanooga,TN,2,3,132
Nashville,TN,Knoxville,TN,2,44,179
Chattanooga,TN,Knoxville,TN,1,40,112
Chattanooga,TN,Atlanta,GA,1,44,118
Birmingham,AL,Atlanta,GA,2,9,147
Birmingham,AL,Montgomery,AL,1,21,92
Montgomery,AL,Atlanta,GA,2,17,160
Montgomery,AL,Mobile,AL,2,19,168
Mobile,AL,Biloxi,MS,0,57,62
New Orleans,LA,Biloxi,MS,1,27,90
New Orleans,LA,Baton Rouge,LA,1,19,80
Monroe,LA,Vicksburg,MS,1,12,77
Monroe,LA,Shreveport,LA,1,31,100
Shreveport,LA,Texarkana,AR,1,10,72
Shreveport,LA,Lafayette,LA,3,4,213
Lafayette,LA,Baton Rouge,LA,1,4,59
Texarkana,AR,Little Rock,AR,2,6,143
Tupelo,MS,Columbus,MS,1,6,69
